Date,Open,High,Low,Close,Adj Close,Volume
2013-04-26,9.590000,9.676667,9.553333,9.636667,8.171638,3747000
2013-04-29,9.673333,9.723333,9.626667,9.700000,8.225342,3910500
2013-04-30,9.670000,9.826667,9.670000,9.826667,8.332751,5244600
2013-05-01,9.780000,9.840000,9.700000,9.750000,8.267741,2758200
2013-05-02,9.760000,9.993333,9.736667,9.990000,8.471256,4309500
2013-05-03,10.053333,10.176667,10.053333,10.153333,8.609758,8183400
2013-05-06,10.176667,10.226667,10.043333,10.046667,8.519309,3899700
2013-05-07,10.070000,10.156667,10.060000,10.073333,8.541918,4406700
2013-05-08,10.073333,10.203333,10.006667,10.180000,8.632374,3673500
2013-05-09,10.166667,10.186667,10.046667,10.076667,8.544748,3295800
2013-05-10,10.060000,10.200000,10.016667,10.166667,8.621065,4205400
2013-05-13,10.163333,10.233333,10.076667,10.160000,8.615413,2790300
2013-05-14,10.143333,10.376667,10.143333,10.306667,8.739779,3823500
2013-05-15,10.296667,10.433333,10.246667,10.376667,8.799140,3790200
2013-05-16,10.333333,10.383333,10.230000,10.253333,8.694555,3152100
2013-05-17,10.260000,10.446667,10.166667,10.420000,8.835886,6972300
2013-05-20,10.400000,10.500000,10.346667,10.446667,8.858499,3033000
2013-05-21,10.416667,10.506667,10.356667,10.396667,8.816094,3240900
2013-05-22,10.130000,10.563333,10.113333,10.326667,8.756742,9169800
2013-05-23,10.236667,10.323333,10.130000,10.306667,8.739779,6631800
2013-05-24,10.260000,10.273333,10.103333,10.240000,8.683249,3030300
2013-05-28,10.403333,10.553333,10.326667,10.490000,8.895240,4898700
2013-05-29,10.500000,10.600000,10.420000,10.530000,8.929159,4981200
2013-05-30,10.510000,10.816667,10.446667,10.716667,9.087452,4154400
2013-05-31,10.706667,10.770000,10.486667,10.486667,8.892417,4959300
2013-06-03,10.486667,10.533333,10.176667,10.353333,8.779355,3925500
2013-06-04,10.393333,10.503333,10.250000,10.280000,8.717165,4083900
2013-06-05,10.340000,10.400000,10.196667,10.346667,8.773700,4511700
2013-06-06,10.380000,10.620000,10.356667,10.616667,9.002656,3334500
2013-06-07,10.726667,10.963333,10.646667,10.960000,9.293792,3881700
2013-06-10,11.000000,11.143333,10.860000,10.973333,9.305098,3351600
2013-06-11,10.823333,10.846667,10.656667,10.706667,9.078974,3569700
2013-06-12,10.723333,10.756667,10.440000,10.446667,8.894498,3860100
2013-06-13,10.400000,10.913333,10.396667,10.860000,9.246415,6565800
2013-06-14,10.886667,10.986667,10.780000,10.866667,9.252093,2973900
2013-06-17,10.953333,11.090000,10.866667,11.013333,9.376968,2410800
2013-06-18,10.993333,11.116667,10.983333,11.063333,9.419538,2980800
2013-06-19,11.033333,11.040000,10.880000,10.903333,9.283311,2925000
2013-06-20,10.836667,10.996667,10.750000,10.916667,9.294665,5862300
2013-06-21,11.013333,11.016667,10.803333,10.856667,9.243580,8353500
2013-06-24,10.806667,10.856667,10.506667,10.616667,9.039237,3535500
2013-06-25,10.663333,10.876667,10.643333,10.783333,9.181143,4276800
2013-06-26,10.903333,10.946667,10.770000,10.810000,9.203848,5273100
2013-06-27,10.890000,10.960000,10.810000,10.953333,9.325881,3556500
2013-06-28,10.926667,10.980000,10.796667,10.930000,9.306017,4184100
2013-07-01,10.983333,11.153333,10.933333,11.036667,9.396834,2871900
2013-07-02,11.080000,11.166667,10.946667,11.020000,9.382646,2154900
2013-07-03,10.953333,10.990000,10.873333,10.906667,9.286149,1230900
2013-07-05,10.920000,11.100000,10.910000,11.100000,9.450756,2204100
2013-07-08,11.130000,11.166667,11.043333,11.046667,9.405352,2428500
2013-07-09,11.113333,11.153333,11.023333,11.080000,9.433727,2741400
2013-07-10,11.103333,11.143333,10.986667,11.090000,9.442244,2739900
2013-07-11,11.200000,11.396667,11.193333,11.373333,9.683477,4275600
2013-07-12,11.416667,11.460000,11.356667,11.433333,9.734563,2102700
2013-07-15,11.443333,11.470000,11.353333,11.380000,9.689156,1919700
2013-07-16,11.366667,11.400000,11.173333,11.260000,9.586983,3104400
2013-07-17,11.286667,11.326667,11.200000,11.223333,9.555767,1768500
2013-07-18,11.256667,11.403333,11.216667,11.380000,9.689156,1482000
2013-07-19,11.360000,11.360000,11.236667,11.296667,9.618203,2396400
2013-07-22,11.363333,11.366667,11.150000,11.253333,9.581308,3090900
2013-07-23,11.216667,11.380000,11.216667,11.280000,9.604012,3674400
2013-07-24,11.296667,11.320000,10.883333,10.936667,9.311692,4048200
2013-07-25,10.920000,11.083333,10.876667,11.076667,9.430888,4894500
2013-07-26,10.983333,10.986667,10.833333,10.973333,9.342910,3015300
2013-07-29,10.926667,11.003333,10.866667,11.003333,9.368456,2757900
2013-07-30,10.690000,10.840000,10.623333,10.820000,9.212358,5785500
2013-07-31,10.780000,10.900000,10.763333,10.800000,9.195331,5638800
2013-08-01,10.900000,11.070000,10.860000,11.066667,9.422376,4077000
2013-08-02,11.046667,11.063333,10.960000,10.993333,9.359941,2277000
2013-08-05,10.930000,10.943333,10.853333,10.870000,9.254931,1704300
2013-08-06,10.890000,10.896667,10.773333,10.843333,9.232225,3427500
2013-08-07,10.830000,10.830000,10.676667,10.746667,9.149920,1935300
2013-08-08,10.790000,10.830000,10.706667,10.770000,9.169790,2286900
2013-08-09,10.756667,10.833333,10.636667,10.636667,9.056269,2532300
2013-08-12,10.633333,10.760000,10.590000,10.653333,9.070455,4235700
2013-08-13,10.633333,10.703333,10.570000,10.636667,9.056269,2346600
2013-08-14,10.616667,10.726667,10.590000,10.653333,9.070455,1982100
2013-08-15,10.556667,10.586667,10.313333,10.380000,8.837734,4733700
2013-08-16,10.356667,10.436667,10.233333,10.263333,8.738404,3891300
2013-08-19,10.253333,10.366667,10.213333,10.260000,8.735566,3999300
2013-08-20,10.253333,10.450000,10.250000,10.406667,8.860439,4298100
2013-08-21,10.623333,10.680000,10.490000,10.513333,8.951257,5463300
2013-08-22,10.533333,10.630000,9.943333,10.153333,8.644744,7179000
2013-08-23,10.233333,10.320000,10.160000,10.276667,8.749754,6221700
2013-08-26,10.303333,10.333333,10.216667,10.216667,8.698671,3562800
2013-08-27,10.126667,10.163333,9.946667,9.980000,8.497167,4697100
2013-08-28,10.003333,10.056667,9.900000,9.946667,8.468783,5643000
2013-08-29,9.913333,10.066667,9.896667,10.020000,8.531225,3571200
2013-08-30,10.083333,10.133333,9.916667,9.953333,8.474463,3765600
2013-09-03,10.116667,10.163333,9.890000,9.926667,8.451759,3603300
2013-09-04,9.926667,10.110000,9.836667,10.000000,8.514194,7253100
2013-09-05,9.986667,10.140000,9.986667,10.090000,8.590823,3511500
2013-09-06,10.146667,10.223333,9.966667,10.170000,8.658937,4563600
2013-09-09,10.190000,10.236667,10.120000,10.223333,8.704345,3438900
2013-09-10,10.266667,10.366667,10.250000,10.326667,8.792326,2537400
2013-09-11,10.243333,10.400000,10.206667,10.333333,8.835076,3998400
2013-09-12,10.376667,10.443333,10.253333,10.430000,8.917727,5161800
2013-09-13,10.416667,10.443333,10.343333,10.416667,8.906326,3825600
2013-09-16,10.516667,10.556667,10.396667,10.473333,8.954778,5051700
2013-09-17,10.470000,10.520000,10.436667,10.510000,8.986128,2707200
2013-09-18,10.486667,10.620000,10.410000,10.590000,9.054526,8449800
2013-09-19,10.583333,10.693333,10.550000,10.673333,9.125780,4134300
2013-09-20,10.696667,10.776667,10.653333,10.693333,9.142877,4810500
2013-09-23,10.636667,10.893333,10.626667,10.686667,9.137178,7878000
2013-09-24,10.710000,10.813333,10.660000,10.726667,9.171379,3833700
2013-09-25,10.733333,10.800000,10.670000,10.683333,9.134326,3183600
2013-09-26,10.683333,10.876667,10.680000,10.856667,9.282531,2762700
2013-09-27,10.766667,10.770000,10.700000,10.733333,9.177077,1651500
2013-09-30,10.623333,10.710000,10.576667,10.703333,9.151426,2811900
2013-10-01,10.700000,10.833333,10.650000,10.796667,9.231230,3609900
2013-10-02,10.766667,10.800000,10.673333,10.793333,9.228380,3131400
2013-10-03,10.740000,10.833333,10.670000,10.770000,9.208431,3960000
2013-10-04,10.783333,11.003333,10.756667,10.966667,9.376579,4943100
