Date,Open,High,Low,Close,Adj Close,Volume
2013-04-29,98.989998,99.209999,98.570000,99.059998,74.629036,1232000
2013-04-30,98.599998,99.199997,98.339996,99.089996,74.651642,1813500
2013-05-01,98.900002,100.239998,98.769997,99.349998,74.847527,1957100
2013-05-02,99.529999,101.120003,99.160004,100.669998,75.842010,1805400
2013-05-03,101.000000,102.150002,100.839996,102.010002,76.851509,2356600
2013-05-06,101.720001,102.889999,101.570000,102.190002,76.987099,2300200
2013-05-07,102.250000,102.889999,102.029999,102.879997,77.506927,1497800
2013-05-08,102.559998,102.610001,101.690002,101.800003,76.693291,1972700
2013-05-09,102.000000,102.279999,101.059998,101.349998,76.354279,2024000
2013-05-10,101.230003,101.949997,101.230003,101.940002,76.798767,1307500
2013-05-13,101.879997,102.250000,101.500000,101.889999,76.761070,1327000
2013-05-14,102.000000,102.889999,101.800003,102.870003,77.499405,1115100
2013-05-15,101.800003,104.089996,101.320000,104.050003,78.388367,2214200
2013-05-16,103.919998,104.650002,103.779999,104.000000,78.350708,1574300
2013-05-17,104.529999,106.410004,104.529999,106.410004,80.166321,2610700
2013-05-20,105.930000,107.000000,105.830002,106.559998,80.279335,1501100
2013-05-21,106.779999,107.099998,106.099998,106.989998,80.603271,1452000
2013-05-22,106.820000,107.930000,106.260002,106.489998,80.226616,2119500
2013-05-23,105.680000,106.790001,105.459999,106.300003,80.083488,4760300
2013-05-24,106.080002,107.099998,105.529999,107.059998,80.656013,4807100
2013-05-28,107.760002,108.800003,107.550003,107.750000,81.175865,5380200
2013-05-29,107.150002,107.709999,106.580002,107.309998,80.844360,1546300
2013-05-30,107.629997,108.550003,107.019997,107.029999,81.506912,2068600
2013-05-31,106.669998,107.790001,105.830002,105.830002,80.593063,1975800
2013-06-03,106.000000,106.000000,104.650002,105.440002,80.296059,2035200
2013-06-04,105.239998,105.820000,104.660004,105.070000,80.014305,1554900
2013-06-05,104.860001,104.930000,103.440002,103.589996,78.887230,1333500
2013-06-06,103.800003,104.510002,103.040001,104.370003,79.481247,1652600
2013-06-07,104.559998,107.459999,104.419998,107.360001,81.758202,1826600
2013-06-10,107.440002,107.639999,106.419998,106.669998,81.232750,1108500
2013-06-11,105.959999,106.660004,105.220001,105.959999,80.692055,1139100
2013-06-12,106.910004,107.400002,106.300003,107.050003,81.522118,1597200
2013-06-13,107.040001,108.290001,106.620003,107.970001,82.222748,1831000
2013-06-14,107.750000,108.459999,107.209999,107.699997,82.017136,1053100
2013-06-17,108.250000,109.250000,107.739998,108.269997,82.451218,1144300
2013-06-18,108.580002,109.260002,108.320000,108.849998,82.892883,1656600
2013-06-19,108.760002,109.089996,106.900002,106.930000,81.430771,1566000
2013-06-20,106.260002,106.930000,105.000000,105.040001,79.991440,2591400
2013-06-21,105.500000,106.129997,105.000000,105.059998,80.006668,2836100
2013-06-24,104.709999,104.919998,103.510002,103.830002,79.069992,1419200
2013-06-25,104.500000,104.610001,103.540001,103.669998,78.948151,1467900
2013-06-26,104.500000,105.910004,104.360001,105.769997,80.547363,1666600
2013-06-27,106.150002,107.629997,106.010002,107.360001,81.758202,2536000
2013-06-28,107.110001,108.860001,107.110001,108.459999,82.595894,2717300
2013-07-01,108.459999,108.849998,107.889999,108.059998,82.291275,1509100
2013-07-02,107.959999,107.959999,105.940002,106.400002,81.027145,1587000
2013-07-03,106.290001,107.379997,105.540001,107.199997,81.636368,651600
2013-07-05,107.580002,108.669998,107.370003,108.660004,82.748207,731800
2013-07-08,109.050003,109.389999,108.720001,109.169998,83.136581,1102500
2013-07-09,109.730003,110.309998,109.150002,109.570000,83.441200,1150900
2013-07-10,109.620003,111.680000,109.480003,111.519997,84.926186,1397000
2013-07-11,112.379997,113.160004,112.019997,113.099998,86.129417,1118300
2013-07-12,113.120003,113.570000,111.779999,112.529999,85.695335,1459400
2013-07-15,112.750000,114.370003,112.459999,114.370003,87.096550,1446000
2013-07-16,114.330002,114.510002,112.570000,112.599998,85.748650,1274500
2013-07-17,112.989998,114.080002,112.900002,114.080002,86.875717,1130600
2013-07-18,114.180000,115.389999,114.070000,115.389999,87.873322,1058200
2013-07-19,114.980003,115.629997,114.690002,115.550003,87.995148,1713900
2013-07-22,115.800003,115.900002,115.180000,115.650002,88.071312,1129200
2013-07-23,118.199997,119.610001,117.010002,117.919998,89.799995,2643500
2013-07-24,118.570000,120.379997,118.230003,119.120003,90.713852,2220700
2013-07-25,117.599998,119.519997,117.300003,119.500000,91.003220,2833300
2013-07-26,119.000000,120.050003,118.809998,120.000000,91.383995,1675800
2013-07-29,118.820000,120.389999,118.809998,119.989998,91.376350,1726900
2013-07-30,120.519997,120.919998,119.480003,120.089996,91.452522,1584600
2013-07-31,120.440002,121.570000,119.320000,120.120003,91.475372,1852200
2013-08-01,120.760002,122.239998,120.750000,122.169998,93.036537,1238500
2013-08-02,123.120003,124.080002,121.940002,123.769997,94.254982,1842300
2013-08-05,123.550003,124.629997,123.230003,124.150002,94.544350,1166200
2013-08-06,124.040001,124.529999,123.870003,124.260002,94.628128,1597700
2013-08-07,124.000000,124.699997,123.699997,124.540001,94.841347,1372100
2013-08-08,125.000000,125.000000,123.809998,124.639999,94.917488,1358700
2013-08-09,124.510002,124.699997,123.599998,124.019997,94.445335,1307800
2013-08-12,123.839996,124.180000,122.980003,123.000000,93.668602,1376200
2013-08-13,123.269997,124.300003,123.000000,124.059998,94.475830,1481600
2013-08-14,124.000000,124.279999,123.349998,123.620003,94.140747,1045300
2013-08-15,122.750000,123.360001,121.830002,122.129997,93.006042,1191700
2013-08-16,121.830002,122.779999,121.699997,122.199997,93.059357,1400300
2013-08-19,121.919998,122.580002,121.250000,121.910004,92.838524,1191700
2013-08-20,121.919998,123.970001,121.919998,122.410004,93.219299,1545400
2013-08-21,122.370003,123.930000,121.870003,122.930000,93.615295,1455900
2013-08-22,123.320000,124.570000,123.050003,123.709999,94.209274,4718000
2013-08-23,123.720001,126.300003,123.589996,126.000000,95.953194,4927100
2013-08-26,126.000000,126.730003,125.099998,125.190002,95.336342,1311100
2013-08-27,124.449997,125.820000,122.800003,123.139999,93.775192,1315200
2013-08-28,123.260002,124.000000,123.220001,123.300003,93.897049,1207700
2013-08-29,122.430000,123.050003,122.029999,122.339996,94.043083,1333600
2013-08-30,122.580002,122.669998,121.720001,122.419998,94.104584,1847000
2013-09-03,123.349998,124.360001,123.099998,123.629997,95.034752,1525400
2013-09-04,123.349998,124.860001,123.250000,124.269997,95.526688,1360300
2013-09-05,123.580002,124.360001,123.070000,124.139999,95.426765,1337200
2013-09-06,124.540001,124.879997,122.540001,123.730003,95.111580,1662600
2013-09-09,123.970001,124.870003,123.820000,124.070000,95.372940,1220200
2013-09-10,124.690002,125.800003,124.339996,125.070000,96.141678,1352500
2013-09-11,124.910004,126.570000,124.910004,126.570000,97.294724,1143300
2013-09-12,126.309998,127.389999,126.199997,126.540001,97.271660,1886100
